# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, 89655.9151991, 43129.1698887, 2.9287513, -0.0664378, 10.0866190, -5.6470548
1.9905281, 89655.3415609, 43127.2359234, 2.7683816, -0.0942653, 8.9027322, -1.9037415
3.9810562, 89654.4453046, 43125.5189123, 2.5343615, -0.1414875, 8.4663887, -0.2268640
5.9715844, 89653.1057566, 43124.0377968, 2.3008988, -0.0841241, 8.4128818, 0.7018259
7.9621125, 89651.4913950, 43122.8105302, 2.1358728, -0.1024689, 8.5773299, 2.3254289
9.9526406, 89649.7331970, 43121.9861634, 1.8603371, -0.1638916, 9.1010028, 2.4069501
11.9431687, 89647.7818469, 43121.6878973, 1.6141478, -0.0789410, 9.6130357, 2.0950501
13.9336968, 89645.8315171, 43121.7121365, 1.5183081, -0.0292638, 10.0374782, 2.0577593
15.9242250, 89643.7794840, 43121.8675864, 1.4736095, -0.0272157, 10.4375775, 2.0178207
17.9147531, 89641.8013615, 43122.1375710, 1.3840471, -0.0656655, 10.8155481, 2.2628189
19.9052812, 89639.8518167, 43122.6651020, 1.2246638, -0.0831253, 11.2242813, 2.5106101
21.8958093, 89638.0756340, 43123.4776523, 1.0583222, -0.0824484, 11.6610193, 2.8931618
23.8863374, 89636.4229894, 43124.5696805, 0.9280728, -0.0449297, 12.1448430, 3.2438013
25.8768656, 89634.8952407, 43125.8116053, 0.8497131, -0.0381226, 12.6653451, 3.4875878
27.8673937, 89633.4440373, 43127.1848281, 0.7790926, -0.0297698, 13.2020926, 3.7236239
29.8579218, 89632.0732826, 43128.6467978, 0.7309429, -0.0188906, 13.7520619, 4.0265480
31.8484499, 89630.7705885, 43130.1510012, 0.6979807, -0.0144094, 14.3230276, 4.2417932
33.8389781, 89629.5101992, 43131.6941921, 0.6726159, -0.0118746, 14.9008703, 4.4720936
35.8295062, 89628.2886468, 43133.2647097, 0.6497659, -0.0110767, 15.4867554, 4.6755355
37.8200343, 89627.1000009, 43134.8619175, 0.6310438, -0.0075045, 16.0764785, 4.8390031
39.8105624, 89625.9354106, 43136.4767453, 0.6196310, -0.0043826, 16.6648584, 4.9893306
41.8010905, 89624.7857495, 43138.1010120, 0.6129321, -0.0023459, 17.2505163, 4.2607054
43.7916187, 89623.6425682, 43139.7324669, 0.6100499, -0.0005865, 17.7353438, 2.0727776
45.7821468, 89622.5026442, 43141.3633682, 0.6104536, 0.0006922, 17.9664761, -2.0958220
47.7726749, 89621.3606608, 43142.9928823, 0.6122168, 0.0010801, 17.7327572, -7.3660448
49.7632030, 89620.2149535, 43144.6221473, 0.6127668, -0.0009500, 16.8856756, -8.4284407
51.7537311, 89619.0741899, 43146.2510088, 0.6081881, -0.0039384, 15.8610196, -8.6652016
53.7442593, 89617.9456834, 43147.8899578, 0.5965689, -0.0077018, 14.7334751, -7.7975590
55.7347874, 89616.8492706, 43149.5423018, 0.5708419, -0.0195996, 13.6393830, -6.9808901
57.7253155, 89615.8127124, 43151.2440259, 0.5191061, -0.0327316, 12.5794059, -6.0630662
59.7158436, 89614.8902672, 43153.0091483, 0.4390642, -0.0476403, 11.5803301, -5.4146730
61.7063717, 89614.1410811, 43154.8457981, 0.3315525, -0.0599357, 10.6088608, -5.1757813
63.6968999, 89613.6102031, 43156.7778010, 0.2021336, -0.0664581, 9.5886834, -5.9096048
65.6874280, 89613.3388642, 43158.7662442, 0.0674939, -0.0714050, 8.2714195, -3.2412343
67.6779561, 89613.3711626, 43160.8262945, -0.1129989, -0.1144272, 7.4506943, -1.4444589
69.6684842, 89613.8707205, 43162.6678025, -0.4768317, -0.2835403, 7.0542450, -0.7773842
71.6590123, 89615.1570940, 43164.1256367, -0.8973643, -0.1073846, 6.8313661, -0.5363826
73.6495405, 89616.8279005, 43165.2296847, -1.0716843, -0.1043703, 6.6732446, 1.1406114
75.6400686, 89618.6810322, 43165.8451924, -1.4738865, -0.2288258, 7.0052146, 2.3987837
77.6305967, 89620.5996591, 43165.6578137, -1.8370695, -0.1505237, 7.6565478, 2.1441550
79.6211248, 89622.4592852, 43164.8915295, -2.0590581, -0.0772695, 8.1950428, 2.1403718
81.6116529, 89624.1896580, 43163.8047200, -2.2024070, -0.0719702, 8.6994061, 2.1926493
83.6021811, 89625.7118079, 43162.4995781, -2.3603900, -0.0825030, 9.1874222, 2.4198875
85.5927092, 89626.9792555, 43161.0007937, -2.5152102, -0.0721473, 9.6975479, 2.6711184
87.5832373, 89628.0344433, 43159.3143662, -2.6456165, -0.0596135, 10.2311440, 3.3072478
89.5737654, 89628.8836233, 43157.5150112, -2.7509119, -0.0454519, 10.8555353, 3.7433343
91.5642936, 89629.5664890, 43155.6487697, -2.8255650, -0.0300147, 11.5215047, 4.3108378
93.5548217, 89630.1375754, 43153.7407508, -2.8713534, -0.0160864, 12.2436415, 4.8539056
95.5453498, 89630.6470599, 43151.8160530, -2.8897052, -0.0023166, 13.0088597, 3.1992471
97.5358779, 89631.1478256, 43149.8882768, -2.8806833, 0.0111471, 13.4895075, -2.2400845
99.5264060, 89631.6907973, 43147.9728640, -2.8457869, 0.0239860, 13.1548056, -5.1187428
101.5169342, 89632.3245049, 43146.0872384, -2.7841950, 0.0382336, 12.3560069, -5.8547585
103.5074623, 89633.0996836, 43144.2546737, -2.6941145, 0.0515173, 11.3737762, -5.1163593
105.4979904, 89634.0586057, 43142.5091462, -2.5805077, 0.0631430, 10.4400321, -5.0485614
107.4885185, 89635.2145278, 43140.9164294, -2.4428897, 0.0752629, 9.4284496, -4.7241098
109.4790466, 89636.6186565, 43139.4820477, -2.2918354, 0.0726271, 8.3719004, -3.4560612
111.4695748, 89638.2300151, 43138.2718081, -2.1308834, 0.0945410, 7.5053276, -2.2479089
113.4601029, 89640.0739729, 43137.4005786, -1.8711110, 0.1564525, 6.8833778, -0.8317771
115.4506310, 89641.9614596, 43137.1687392, -1.4717511, 0.2920165, 6.6384892, -0.8116077
117.4411591, 89643.7987534, 43137.8675463, -1.0175245, 0.0909351, 6.3904994, -0.0548961
119.4316872, 89645.4026765, 43139.0672449, -0.8208605, 0.1419742, 6.3733773, 2.1548924
121.4222154, 89646.4998663, 43140.6408630, -0.3534967, 0.2440852, 7.0141775, 2.2608415
123.4127435, 89646.8529958, 43142.5351367, -0.0606257, 0.1018973, 7.6288416, 2.2659150
125.4032716, 89646.7731088, 43144.6133046, 0.1329460, 0.0846195, 8.1987779, 2.3308144
127.3937997, 89646.3519477, 43146.5648812, 0.2889267, 0.0749071, 8.7463742, 2.8520835
129.3843278, 89645.6415342, 43148.4392295, 0.4304956, 0.0608668, 9.3730127, 3.3043144
131.3748560, 89644.7273305, 43150.1869708, 0.5246992, 0.0364210, 10.0502750, 4.0835998
133.3653841, 89643.6756288, 43151.8758840, 0.5849786, 0.0237304, 10.8288997, 4.5125522
135.3559122, 89642.5465554, 43153.5104797, 0.6207259, 0.0135067, 11.6288345, 4.8666669
137.3464403, 89641.3705261, 43155.1184924, 0.6395960, 0.0060964, 12.4339964, 4.9980698
139.3369685, 89640.1747407, 43156.7093610, 0.6484240, 0.0027806, 13.2099154, 5.0447934
141.3274966, 89638.9695171, 43158.2933386, 0.6522388, 0.0019349, 13.9493896, 5.1095718
143.3180247, 89637.7576646, 43159.8731655, 0.6566488, 0.0027052, 14.6603876, 4.9127145
145.3085528, 89636.5373727, 43161.4449274, 0.6645312, 0.0052102, 15.3128951, 4.7518646
147.2990809, 89635.3003834, 43163.0043217, 0.6777377, 0.0083151, 15.9186116, 4.5311380
149.2896091, 89634.0372933, 43164.5435100, 0.6977926, 0.0115152, 16.4754639, 2.6608123
151.2801372, 89632.7436072, 43166.0525467, 0.7190891, 0.0098762, 16.7938606, -0.8030980
153.2706653, 89631.4139146, 43167.5443772, 0.7349773, 0.0042386, 16.6984004, -3.8109016
155.2611934, 89630.0801898, 43169.0160842, 0.7345351, -0.0048552, 16.2377696, -8.3939538
157.2517215, 89628.7216510, 43170.5204839, 0.7400181, 0.0116075, 15.1739369, -9.1321899
159.2422497, 89627.3842115, 43171.9273996, 0.7922034, 0.0471105, 13.9245323, -9.1301634
161.2327778, 89625.9030627, 43173.2396850, 0.8985038, 0.0376316, 12.5516893, -7.4691364
163.2233059, 89624.3247972, 43174.4624168, 0.9037246, -0.0274860, 11.3053020, -6.6409716
165.2138340, 89622.7553160, 43175.8239383, 0.7937987, -0.0745429, 10.0683550, -6.1214477
167.2043621, 89621.5030172, 43177.3240130, 0.5649355, -0.1620831, 8.7750752, -5.9891095
169.1948903, 89620.7303316, 43179.1077342, 0.2687474, -0.1254606, 7.2910193, -0.8316310
171.1854184, 89620.5201480, 43181.0738123, -0.0780585, -0.1888660, 7.0603253, -0.7925740
173.1759465, 89620.9921373, 43182.9684532, -0.3953860, -0.1423644, 6.8332212, -0.6671345
175.1664746, 89622.0011660, 43184.6896203, -0.6618932, -0.1337181, 6.6360388, 0.1388049
177.1570027, 89623.4379043, 43186.0695296, -0.9561600, -0.1482432, 6.6775446, 1.3942583
179.1475309, 89625.2086059, 43186.9849775, -1.2195994, -0.1141903, 7.0809760, 1.9503061
181.1380590, 89627.1960023, 43187.4911519, -1.4126650, -0.0851124, 7.6095007, 2.2667278
183.1285871, 89629.2162612, 43187.6087412, -1.6367229, -0.1517500, 8.1809823, 2.9040818
185.1191152, 89630.9971527, 43187.2099509, -1.9557528, -0.1831356, 8.8594460, 3.7601982
187.1096433, 89632.7024210, 43186.2604430, -2.1503167, -0.0365494, 9.6674373, 4.2324059
189.1001715, 89634.3946010, 43185.0938319, -2.1893995, -0.0084499, 10.5027991, 1.5847713
191.0906996, 89636.0802868, 43183.8929373, -2.1797872, 0.0206411, 10.7989747, 0.1886385
193.0812277, 89637.7570395, 43182.8111496, -2.0886474, 0.0736362, 10.8336898, -3.8472261
195.0717558, 89639.5438595, 43181.9910224, -1.8974647, 0.1217282, 10.1021191, -1.1326913
197.0622840, 89641.4359503, 43181.6027413, -1.6586579, 0.0916971, 9.8764114, 0.1136231
199.0528121, 89643.3769385, 43181.5658405, -1.5249163, 0.0688871, 9.8992850, 1.1339080
201.0433402, 89645.4019623, 43181.8090544, -1.3777569, 0.0660875, 10.1247219, 2.3884093
203.0338683, 89647.3418992, 43182.3113584, -1.2614471, 0.0529161, 10.5838739, 3.3589159
205.0243964, 89649.2318241, 43183.0186817, -1.1708174, 0.0341660, 11.1977864, 1.7310449
207.0149246, 89651.0286436, 43183.8352089, -1.1252172, 0.0109888, 11.5013828, -4.3855193
209.0054527, 89652.8157317, 43184.6909772, -1.1331830, -0.0188299, 10.7155404, -6.2422470
210.9959808, 89654.6643312, 43185.4968885, -1.1930597, -0.0408061, 9.4853609, -6.4865516
212.9865089, 89656.6033627, 43186.1458486, -1.3171816, -0.0790564, 8.0092911, -6.1621214
214.9770370, 89658.5060396, 43186.4460610, -1.5576966, -0.2536913, 6.2942031, -0.9594314
216.9675652, 89660.2792380, 43185.8946998, -2.1142652, -0.1975372, 5.9830963, -0.7705190
218.9580933, 89661.7747205, 43184.5052090, -2.5035989, -0.1369284, 5.7210106, -0.6166804
220.9486214, 89662.7647012, 43182.7502593, -2.7579608, -0.1555319, 5.5022653, 0.7870213
222.9391495, 89663.1297403, 43180.8057010, 3.0956100, -0.2462280, 5.7799740, 2.4936289
224.9296776, 89662.5641531, 43178.9863454, 2.5824934, -0.2420072, 6.5829610, 2.2860828
226.9202058, 89661.2448556, 43177.5348193, 2.2830896, -0.0810474, 7.2412982, 2.3682303
228.9107339, 89659.5885944, 43176.2794259, 2.1696781, -0.0410112, 7.8653963, 2.7986395
230.9012620, 89657.8987050, 43175.2203207, 2.0935533, -0.0351375, 8.5443548, 3.8208909
232.8917901, 89656.1415347, 43174.2904515, 2.0154482, -0.0509506, 9.3924002, 3.9190972
234.8823182, 89654.3129004, 43173.5475946, 1.8922714, -0.0584379, 10.1891770, 0.5248186
236.8728464, 89652.4046296, 43172.9782109, 1.8557956, 0.0216432, 10.2911933, -4.4764043
238.8633745, 89650.5145615, 43172.3284196, 1.9695005, 0.0882869, 9.3855124, -5.4115100
240.8539026, 89648.7632080, 43171.3512653, 2.2046341, 0.1192628, 8.1574700, -3.2187049
242.8444307, 89647.2931458, 43170.0183077, 2.3993390, 0.0874160, 7.3301072, -1.0548049
244.8349588, 89646.1847839, 43168.3976710, 2.7525992, 0.2514991, 7.0378430, -0.8039286
246.8254870, 89645.8752683, 43166.5385590, -3.1054942, 0.1750229, 6.8066694, 0.3170441
248.8160151, 89646.2292980, 43164.5668497, -2.8420386, 0.1157747, 6.8987622, 0.8113666
250.8065432, 89647.0900527, 43162.7011530, -2.5573371, 0.1601575, 7.1290263, 1.5897294
252.7970713, 89648.4260803, 43161.2271796, -2.2616852, 0.1351159, 7.5598821, 1.0032833
254.7875995, 89650.0753749, 43160.1804457, -2.0172775, 0.1138274, 7.8195873, 0.4993560
256.7781276, 89651.9606673, 43159.5033839, -1.8274831, 0.0738412, 7.9456849, -0.2732178
258.7686557, 89653.8797486, 43159.1587324, -1.6607070, 0.0989710, 7.8769419, 0.0966751
260.7591838, 89655.9319152, 43159.2010533, -1.4351640, 0.1045090, 7.9013343, 1.5251262
262.7497119, 89657.9361618, 43159.6749696, -1.2469337, 0.0907943, 8.2766356, 2.0676020
264.7402401, 89659.7837238, 43160.5487214, -0.9780509, 0.1766232, 8.7597909, 3.0088540
266.7307682, 89661.0859939, 43161.7031718, -0.7318831, 0.1389876, 9.4187235, 3.9217213
268.7212963, 89662.2712452, 43163.2723410, -0.5949103, 0.0433025, 10.2139584, 4.5103883
270.7118244, 89663.3555626, 43165.0705875, -0.4788081, 0.0773356, 11.0580765, -6.1658633
272.7023525, 89664.2642448, 43167.0071563, -0.4586014, -0.1076405, 9.8860714, -7.8149099
274.6928807, 89665.4567429, 43168.2660071, -1.1290924, -0.1500711, 8.1622798, -2.6284322
276.6834088, 89667.2491312, 43169.1420752, -1.0962969, -0.0049208, 7.4939225, -0.6202366
278.6739369, 89669.1482972, 43170.0431513, -1.1988089, -0.1234632, 7.3273241, -0.2777785
280.6644650, 89671.0034626, 43170.4105353, -1.5916159, -0.2374322, 7.2514706, 2.2413220
282.6549931, 89672.9094873, 43169.9573960, -1.9924542, -0.1653899, 7.8426179, 2.0452865
284.6455213, 89674.6248521, 43168.8975818, -2.2204735, -0.0694005, 8.3456010, 2.0761821
286.6360494, 89676.1700723, 43167.5758669, -2.3281795, -0.0491466, 8.8269164, 2.1540729
288.6265775, 89677.5314821, 43166.1197478, -2.4624938, -0.0810897, 9.2999967, 0.8800830
290.6171056, 89678.6151645, 43164.5396886, -2.6167993, -0.0768499, 9.4864956, -0.0208064
292.6076337, 89679.5003291, 43162.7160411, -2.7573372, -0.0634084, 9.4821289, -1.0603138
294.5981619, 89680.1227165, 43160.8160753, -2.8994664, -0.0838299, 9.2568677, -0.9450516
296.5886900, 89680.4106877, 43158.7964961, -3.1115362, -0.1151123, 9.0513698, -0.8288014
298.5792181, 89680.2383768, 43156.8691721, 2.9223100, -0.1497630, 8.8672313, -0.8237934
300.5697462, 89679.5247334, 43155.0183374, 2.6380176, -0.1120964, 8.6803354, 0.3620459
302.5602743, 89678.4371608, 43153.3971024, 2.4700549, -0.0836712, 8.7629645, 1.2813156
304.5508025, 89677.0581109, 43151.9389799, 2.2984470, -0.0804404, 9.0493390, 2.0676904
306.5413306, 89675.4705246, 43150.7263751, 2.1511552, -0.0699618, 9.4932676, 2.2435107
308.5318587, 89673.7000912, 43149.7276115, 2.0229937, -0.0563613, 9.9525711, 2.8588038
310.5223868, 89671.8642347, 43148.9592739, 1.9085151, -0.0636878, 10.5087930, 3.9598747
312.5129150, 89670.0224233, 43148.4373788, 1.7865810, -0.0624169, 11.2338424, 4.6862630
314.5034431, 89668.0371243, 43148.1164236, 1.6863319, -0.0290310, 12.0355927, -4.3617832
316.4939712, 89666.1112131, 43147.8942624, 1.7063744, 0.0396919, 11.2911907, -4.9815670
318.4844993, 89664.0694403, 43147.4968600, 1.8279458, 0.0637806, 10.3758897, -5.4392491
320.4750274, 89662.1871128, 43146.8638071, 1.9700271, 0.0874659, 9.2738952, -1.5158113
322.4655556, 89660.3906813, 43145.8711519, 2.1932536, 0.1258660, 8.9426283, -0.3218800
324.4560837, 89659.0205904, 43144.5827384, 2.4749302, 0.1683606, 8.8706921, 0.9791634
326.4466118, 89658.0301705, 43142.9216089, 2.6991091, 0.0773050, 9.0877546, 2.3522845
328.4371399, 89657.2921706, 43141.0082547, 2.8460876, 0.0699232, 9.5891533, 2.6659561
330.4276680, 89656.8353275, 43139.0834423, 2.9655158, 0.0530495, 10.1274469, 3.3972867
332.4181962, 89656.5818599, 43137.0953681, 3.0578087, 0.0344026, 10.7745056, 4.1612528
334.4087243, 89656.4654239, 43135.1079252, 3.0994118, 0.0074703, 11.5176453, 0.6501681
336.3992524, 89656.3797324, 43133.1063499, 3.0900070, -0.0172425, 11.6294672, 0.3111758
338.3897805, 89656.2237115, 43131.1056526, 3.0298089, -0.0399905, 11.6826074, -8.7271899
340.3803086, 89655.9151991, 43129.1698887, 2.9287513, -0.0664378, 10.0866190, -5.6470548
